16/04/2021 12:22:22 -> {'name': 'Gigabyte RTX 3070 Aorus Master 8GB', 'store': 'neobyte', 'url': 'https://www.neobyte.es/gigbyte-rtx-3070-aorus-master-8gb-7770.html', 'status': 'OUT OF STOCK', 'price': '1128.9905', 'lastStockTs': '15/04/2021 13:04:53', 'id': '76'} 
16/04/2021 12:22:35 -> {'name': 'MSI GeForce RTX 3080 SUPRIM X 10GB GDDR6X', 'store': 'pccomponentes', 'url': 'https://www.pccomponentes.com/msi-geforce-rtx-3080-suprim-x-10gb-gddr6x', 'status': 'OUT OF STOCK', 'price': '1299.9', 'lastStockTs': '19/01/2021 22:27:28', 'id': '93'} 
16/04/2021 12:22:35 -> {'name': 'Zotac GeForce RTX 3060 Ti D6 Twin Edge OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/892-zotac-rtx-3060-ti-twin-edge-oc.html', 'status': 'OUT OF STOCK', 'price': '549,95', 'lastStockTs': '26/01/2021 19:29:39', 'id': '94'} 
16/04/2021 12:22:35 -> {'name': 'EVGA GeForce RTX 3060 Ti FTW3 ULTRA 8GB GDDR6', 'store': 'pccomponentes', 'url': 'https://www.pccomponentes.com/evga-geforce-rtx-3060-ti-ftw3-ultra-8gb-gddr6', 'status': 'OUT OF STOCK', 'price': '569.9', 'lastStockTs': '14/01/2021 17:05:50', 'id': '96'} 
16/04/2021 12:22:36 -> {'name': 'GEFORCE RTX 3060 TI MASTER 8G', 'store': 'vsgamers', 'url': 'https://www.vsgamers.es/product/tarjeta-grafica-gigabyte-geforce-rtxr-3060-ti-master-8g', 'status': 'OUT OF STOCK', 'price': '579.89', 'lastStockTs': '12/01/2021 14:57:10', 'id': '97'} 
16/04/2021 13:20:31 -> {'name': 'ASUS TUF RTX3070 OC GAMING 8GB', 'store': 'neobyte', 'url': 'https://www.neobyte.es/tarjeta-grafica-asus-tuf-rtx3070-oc-gaming-8gb-7961.html', 'status': 'OUT OF STOCK', 'price': '825.3652', 'lastStockTs': '12/01/2021 14:57:10', 'id': '106'} 
16/04/2021 13:20:33 -> {'name': 'Gigabyte RTX 3070 Gaming OC 8GB', 'store': 'neobyte', 'url': 'https://www.neobyte.es/gigabyte-rtx-3070-gaming-oc-8gb-7484.html', 'status': 'OUT OF STOCK', 'price': '988.9935', 'lastStockTs': '11/04/2021 09:35:30', 'id': '108'} 
17/04/2021 15:50:24 -> {'name': 'Palit GeForce RTX 3060 Ti Gaming Pro 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/905-palit-rtx-3060-ti-gaming-pro-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '479,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '43'} 
17/04/2021 15:50:38 -> {'name': 'Palit GeForce RTX 3060 Ti Dual 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/908-palit-geforce-rtx-3060-ti-dual-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '529,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '66'} 
17/04/2021 15:50:44 -> {'name': 'Zotac Gaming GeForce RTX 3070 Twin Edge OC White', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/917-zotac-gaming-geforce-rtx-3070-twin-edge-oc-white-edition-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '22/01/2021 21:20:25', 'id': '79'} 
17/04/2021 15:50:47 -> {'name': 'EVGA GeForce RTX 3070 XC3 BLACK GAMING 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/853-evga-geforce-rtx-3070-xc3-black-gaming-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '87'} 
17/04/2021 15:50:51 -> {'name': 'Zotac GeForce RTX 3060 Ti D6 Twin Edge OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/892-zotac-rtx-3060-ti-twin-edge-oc.html', 'status': 'OUT OF STOCK', 'price': '549,95', 'lastStockTs': '26/01/2021 19:29:39', 'id': '94'} 
17/04/2021 15:51:16 -> {'name': 'Palit GeForce RTX 3070 GAMEROCK OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/910-palit-geforce-rtx-3070-gamerock-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '669,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '138'} 
17/04/2021 15:51:18 -> {'name': 'Palit GeForce RTX 3070 GAMING PRO 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/879-palit-geforce-rtx-3070-gaming-pro-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '594,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '141'} 
17/04/2021 15:51:59 -> {'name': 'Asus TUF Gaming GeForce RTX 3070 OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/912-asus-tuf-gaming-geforce-rtx-3070-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '809,95', 'lastStockTs': '16/04/2021 10:38:47', 'id': '39'} 
17/04/2021 15:52:01 -> {'name': 'Palit GeForce RTX 3060 Ti Gaming Pro 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/905-palit-rtx-3060-ti-gaming-pro-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '479,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '43'} 
17/04/2021 17:00:16 -> {'name': 'Gigabyte GeForce RTX 3070 VISION OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/862-gigabyte-geforce-rtx-3070-vision-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '799,95', 'lastStockTs': '26/01/2021 22:21:37', 'id': '4'} 
17/04/2021 17:00:28 -> {'name': 'Gigabyte GeForce RTX 3060 Ti AORUS MASTER', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/888-gigabyte-geforce-rtx-3060-ti-aorus-master.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '21/01/2021 20:52:11', 'id': '16'} 
17/04/2021 17:32:17 -> {'name': 'Gigabyte GeForce RTX 3060 Ti GAMING OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/907-gigabyte-geforce-rtx-3060-ti-gaming-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '489,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '26'} 
17/04/2021 17:32:25 -> {'name': 'Asus TUF Gaming GeForce RTX 3070 OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/912-asus-tuf-gaming-geforce-rtx-3070-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '809,95', 'lastStockTs': '16/04/2021 10:38:47', 'id': '39'} 
17/04/2021 17:32:34 -> {'name': 'Gigabyte GeForce RTX 3070 EAGLE OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/857-gigabyte-geforce-rtx-3070-eagle-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '58'} 
17/04/2021 17:32:39 -> {'name': 'Palit GeForce RTX 3060 Ti Dual 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/908-palit-geforce-rtx-3060-ti-dual-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '529,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '66'} 
17/04/2021 17:32:46 -> {'name': 'Zotac Gaming GeForce RTX 3070 Twin Edge OC White', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/917-zotac-gaming-geforce-rtx-3070-twin-edge-oc-white-edition-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '22/01/2021 21:20:25', 'id': '79'} 
17/04/2021 17:32:49 -> {'name': 'EVGA GeForce RTX 3070 XC3 BLACK GAMING 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/853-evga-geforce-rtx-3070-xc3-black-gaming-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '87'} 
17/04/2021 17:33:42 -> {'name': 'Gigabyte GeForce RTX 3070 VISION OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/862-gigabyte-geforce-rtx-3070-vision-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '799,95', 'lastStockTs': '26/01/2021 22:21:37', 'id': '4'} 
17/04/2021 17:33:54 -> {'name': 'Gigabyte GeForce RTX 3060 Ti GAMING OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/907-gigabyte-geforce-rtx-3060-ti-gaming-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '489,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '26'} 
